clinic_id,name,address,city,state,zip_code,phone,website,latitude,longitude,clinic_type,google_place_id,google_rating,google_review_count,yelp_business_id,yelp_rating,yelp_review_count,combined_rating,total_review_count,data_sources,data_quality_score,is_complete,has_both_apis
27,Passport Health Chicago - River North Vaccine Clinic,730 N Franklin St,Chicago,IL,60654,(872) 231-0518,https://www.yelp.com/biz/passport-health-river-north-travel-clinic-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.89584,-87.63603,primary_care,,4.1,,PNYLz167uKJbu1TkmJtkkA,4.0,19,4.05,19,Yelp Only,85,True,False
28,Deeper Connections Counseling,111 N Wabash Ave,Chicago,IL,60602,(312) 971-6500,https://www.yelp.com/biz/deeper-connections-counseling-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88352,-87.62589,mental_health,,5.0,,RruRRsW_27TedFF4XnBrzw,5.0,6,5.0,6,Yelp Only,85,True,False
30,Plastic Surgery Clinic of Chicago,737 N Michigan Ave,Chicago,IL,60611,(312) 819-5338,https://www.yelp.com/biz/plastic-surgery-clinic-of-chicago-chicago-2?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8959995,-87.6238055,specialty,,4.7,,Jzv1uFGzv6S0kmSpdhJpDw,4.6,9,4.65,9,Yelp Only,85,True,False
31,Chicago Nasal & Sinus Center,111 W Washington St,Chicago,IL,60602,(312) 372-9355,https://www.yelp.com/biz/chicago-nasal-and-sinus-center-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.883003590461456,-87.63169400189727,primary_care,,4.4,,ZNlHypbOwdB0lM3kW2M-Qw,4.3,82,4.35,82,Yelp Only,85,True,False
32,Boston Medical Group,30 N Michigan Ave,Chicago,IL,60602,(866) 678-9169,https://www.yelp.com/biz/boston-medical-group-chicago-2?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8829571,-87.6247939,primary_care,,1.1,,_wlF11q12wAYaGFdVzvlbw,1.0,4,1.05,4,Yelp Only,85,True,False
20,Aligned Modern Health,338 E Ohio St,Chicago,IL,60611,(773) 250-6464,https://www.yelp.com/biz/aligned-modern-health-chicago-20?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8926268,-87.6192751,mental_health,,4.5,,RYs4yVYUwxq1PrTOa5BS9g,4.4,44,4.45,44,Yelp Only,85,True,False
23,ImagineMD,10 S Riverside Plz,Chicago,IL,60606,(312) 374-5860,https://www.yelp.com/biz/imaginemd-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88165,-87.6388749,primary_care,,5.0,,QSCfp8kzwUYxPywQhd4hpA,5.0,10,5.0,10,Yelp Only,85,True,False
24,Meticulous Massage,307 N Michigan Ave,Chicago,IL,60601,(773) 217-8396,https://www.yelp.com/biz/meticulous-massage-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8871,-87.62421,physical_therapy,,4.9,,pRWoFXnlTtvwoHc-Ufybdg,4.8,24,4.85,24,Yelp Only,85,True,False
33,Mobile IV Medics - Chicago,,Chicago,IL,60603,(833) 483-7477,https://www.yelp.com/biz/mobile-iv-medics-chicago-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88089,-87.62127,primary_care,,5.0,,6IVKAZMVj6JJjhoWwoIoVg,5.0,3,5.0,3,Yelp Only,75,True,False
34,Hobson Institute,30 N Michigan Ave,Chicago,IL,60602,(312) 986-9833,https://www.yelp.com/biz/hobson-institute-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8829547,-87.6247085,pediatric,,5.0,,7R2-weeGDZWt07ODmFZVTg,5.0,12,5.0,12,Yelp Only,85,True,False
