id,name,address,city,state,zip_code,phone,website,latitude,longitude,clinic_type,google_place_id,google_rating,google_review_count,yelp_business_id,yelp_rating,yelp_review_count,is_active,last_updated,created_at,combined_rating,total_review_count,data_source
1,Michigan Avenue Immediate Care,180 N Michigan Ave,Chicago,IL,60601,+13122011234,https://www.yelp.com/biz/michigan-avenue-immediate-care-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8855216,-87.62493576090347,primary_care,,,,Nq7YbO-1nLth0f0zUPil7g,4.1,238,1,2026-01-09 05:49:12.891866,2025-12-25 02:14:06.540628,4.1,238,Yelp Only
2,MinuteClinic,137 S State St,Chicago,IL,60603,+13126091215,https://www.yelp.com/biz/minuteclinic-chicago-12?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.879705681460266,-87.62725871165662,urgent_care,,,,J_Bj4er_CiQPZ3hd4b-CHQ,3.0,47,1,2026-01-09 05:49:14.264929,2025-12-25 02:14:08.027444,3.0,47,Yelp Only
3,Michigan Avenue Primary Care,180 N Michigan Ave,Chicago,IL,60601,+13129943000,https://www.yelp.com/biz/michigan-avenue-primary-care-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8855114,-87.6248706,primary_care,,,,YLh7-5iri6hiTr5awunDNg,2.9,94,1,2026-01-09 05:49:15.700098,2025-12-25 02:14:09.431827,2.9,94,Yelp Only
4,Northwestern Memorial Physicians Group,20 S Clark St,Chicago,IL,60603,+13129263627,https://www.yelp.com/biz/northwestern-memorial-physicians-group-chicago-8?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88129,-87.63122,primary_care,,,,xnsm8fBkLebZexWWfWdgtw,3.7,48,1,2026-01-09 05:49:18.589031,2025-12-25 02:14:10.831190,3.7,48,Yelp Only
5,Northwestern Medicine Immediate Care - Streeterville,635 N Fairbanks Ct,Chicago,IL,60611,+13126942273,https://www.yelp.com/biz/northwestern-medicine-immediate-care-streeterville-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.89379553723887,-87.619992043911,urgent_care,,,,gF68M-OaTDfiLJNbchp-kA,2.8,19,1,2026-01-09 05:49:19.975612,2025-12-25 02:14:12.200403,2.8,19,Yelp Only
6,Passport Health - Downtown Chicago Travel Clinic,111 W Washington St,Chicago,IL,60602,+13126416228,https://www.yelp.com/biz/passport-health-downtown-chicago-travel-clinic-chicago-2?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8830278,-87.624905,primary_care,,,,ec_GD1sUuqA4teHBic7vEA,4.2,79,1,2026-01-09 05:49:21.333809,2025-12-25 02:14:13.786869,4.2,79,Yelp Only
7,Shirley Ryan AbilityLab,355 East Erie St,Chicago,IL,60611,+13122381000,https://www.yelp.com/biz/shirley-ryan-abilitylab-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.89392943762908,-87.61840212654626,primary_care,,,,_3sMdNrgyJNoPl5-aCeKOw,2.8,143,1,2026-01-09 05:49:31.112446,2025-12-25 02:14:15.149696,2.8,143,Yelp Only
8,Chicago Express Doctors,520 N Kingsbury St,Chicago,IL,60611,+13129294492,https://www.yelp.com/biz/chicago-express-doctors-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8909068,-87.6401544,urgent_care,,,,l5zuhgt5hNUuvsQSqQUuYA,4.2,72,1,2026-01-09 05:49:22.686789,2025-12-25 02:14:16.550518,4.2,72,Yelp Only
9,Northwestern Medicine Immediate Care River North,635 N Dearborn St,Chicago,IL,60611,+13126942273,https://www.yelp.com/biz/northwestern-medicine-immediate-care-river-north-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.893524,-87.629361,urgent_care,,,,gDR9wf6ER_xl-pGrcsD9VA,3.0,104,1,2026-01-09 05:49:28.248170,2025-12-25 02:14:17.960658,3.0,104,Yelp Only
10,Physicians Immediate Care,825 S State St,Chicago,IL,60605,+13125669510,https://www.yelp.com/biz/physicians-immediate-care-chicago-13?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8710796,-87.62726,urgent_care,,,,o_OOT4mq5BIoiYk5XThsNA,2.9,117,1,2026-01-09 05:49:25.501251,2025-12-25 02:14:19.350164,2.9,117,Yelp Only
