id,collection_type,start_time,end_time,status,records_collected,records_updated,records_failed,error_message,error_details,created_at
1,google_places,2025-12-25 03:02:55.486340,2025-12-25 03:04:04.192712,success,9,51.0,0,,,2025-12-25 03:02:55.494141
2,yelp,2025-12-25 03:04:09.208432,2025-12-25 03:07:47.025505,success,25,117.0,0,,,2025-12-25 03:04:09.211276
3,google_trends,2025-12-25 03:07:52.277211,2025-12-25 03:08:50.329699,success,1459,,0,,,2025-12-25 03:07:52.280592
4,google_places,2025-12-25 03:45:57.121522,2025-12-25 03:47:05.099383,success,1,59.0,0,,,2025-12-25 03:45:57.128189
5,yelp,2025-12-25 03:47:10.113084,2025-12-25 03:50:43.512600,success,0,141.0,0,,,2025-12-25 03:47:10.115681
6,google_trends,2025-12-25 03:50:48.765000,2025-12-25 03:51:45.443040,success,0,,0,,,2025-12-25 03:50:48.769010
7,google_places,2025-12-25 04:31:29.056392,2025-12-25 04:32:37.859642,success,10,50.0,0,,,2025-12-25 04:31:29.063784
8,yelp,2025-12-25 04:32:42.876245,2025-12-25 04:35:53.390589,success,0,0.0,141,,,2025-12-25 04:32:42.879033
9,google_trends,2025-12-25 04:35:58.636849,2025-12-25 04:36:56.624893,success,0,,0,,,2025-12-25 04:35:58.639493
10,yelp,2025-12-25 04:50:09.897782,2025-12-25 04:53:42.649067,success,0,141.0,0,,,2025-12-25 04:50:09.904802
11,yelp,2025-12-25 05:03:20.759087,2025-12-25 05:06:50.304314,success,0,141.0,0,,,2025-12-25 05:03:20.766323
