id,clinic_id,source,review_id,author_name,rating,text,review_date,sentiment_score,sentiment_label,created_at
1,50,google,google_50_1755621555,Angela Ellington,1.0,This place Wow I went to place to see a pain doctor to get closer to home I was there 3 hours thinking I can finely get help for my pain they did a evaluation there was 2 doctors in the room a third doctor came I'm guessing it was their boss she was very very rude make aong story short They refuse treatment. This place is pathetic.,2025-08-19 11:39:15,,,2025-12-25 02:25:17.795654
2,50,google,google_50_1671043052,Enzo,1.0,"our before my appointment then after eight months, they did the same thing again they called and canceled and said that say the doctors not here and now after calling them and calling them, they come up with a lie. The doctor has surgery. I called and confirm the appointment a day before the doctor doesn’t have any surgery. No doctor would have surgery an hour before my appointment so talking to this clinic is stuck in to target. It’s not professional at all. They’re very rude. Even the customer service is very rude. They don’t take any responsibility for their appointment or if they’re a doctors over their patient they moved my next appointment without even asking me and they’re demanding me to take it. I have a job I have responsibility for. You cannot cancel my appointment last minute so I will never go back to the clinic, and I wo, it’s not professional at all. They’re very rude. Even the customer service is very rude. They don’t take any responsibility for their appointments or if their doctor over their patient they moved my next appointment without even asking me and they’re demanding me to take it. I have a job too I have responsibilities. And I thought I had to share my experience so people don’t go again what I did. People are in pain and you’re moving their appointment. I’m playing with their life like you guys don’t care.",2022-12-14 12:37:32,,,2025-12-25 02:25:17.796763
3,50,google,google_50_1456942023,Joe M,1.0,"This is the absolute worst medical clinic my wife and I have ever visited.  Never have I felt so much frustration with the lack safety and oversight that should go into well established medical procedures.  The entire staff, from the receptionists to the nurses and doctors, do not take any responsibility for proper patient care or doing their job as anyone would expect.

My wife was at high risk to develop a dangerous syndrome when she was undergoing treatment for ivf.  She was at high risk because of something in her medical history, which the doctor knew, and yet the doctor never discussed the possibility of developing the syndrome with us at any real length.  No changes were made in her treatment regimen to help prevent developing this syndrome (which could have been done).  Unfortunately, after egg retrieval she started to feel sick and we called the clinic.  The first day, the doctor told us to ignore what she was feeling and that is was normal.  The doctor didn't follow-up in any way after that.  On the third day, my wife was very sick and she called and talked to a nurse, telling her how badly she felt, and the nurse said the doctor would call her back.  She didn't get a call back, so she e-mailed the online chart the doctor could see, and still got no response.  She then called a couple more times, and the receptionist kept putting her through to nurses voice mails.  I called, told the receptionist it was an emergency, and she put me through the same channels, straight to nurses voice mail.  I called again, said I needed to speak with any doctor, it was absolute emergency!  She put me through to another voice mail.  No one ever told us to go to the emergency room, but luckily we did so anyway.

We took my wife to the hospital where she had to have emergency surgery.  The ER doctors tried to call our doctor at the fertility clinic and said they couldn't get a hold of anyone (though our fertility doctor later told us he spoke with them, which they refute).  My wife was in the hospital for 4 days.  Even though our clinic doctor said he had talked to the ER doctors, he never once made any attempt to contact us after the emergency.

The people at this clinic want to take no responsibility for patient care.  If you call them, you can expect to wait the entire day for them to call you back (even in the case of an emergency).  Even still they may never contact you back.  They clearly do not care even the least bit about you or maybe they would check up to see how you are doing after an emergency which they supposedly knew about.

I cannot stress enough how miserable this experience has been (and this was over a month ago).  Please, if you are looking for a place for fertility treatment and care, do yourself a favor and go somewhere else.

-Joe",2016-03-02 12:07:03,,,2025-12-25 02:25:17.797405
4,50,google,google_50_1552520808,Natalie,4.0,"I had to go here for an ultrasound. Although they were all booked up and made me wait a month, once I actually got there it was less scary than I feared. The waiting room was a bit crowded and noisy but the technician was very nice. She took the time to answer my questions and put my fears to rest. And the receptionist told me that all the techs for breast exams are female. Phew! Altogether a pretty good experience.",2019-03-13 18:46:48,,,2025-12-25 02:25:17.798026
5,50,google,google_50_1552326245,J V,1.0,Terrible hospital. I was diagnosed with a missed miscarriage. I took the prescription but to no avail I did not pass the fetus. I was advised to wait an additional three days. I advised the nurse of my symptoms she still said wait it out. How rude!!! It’s not healthy to walk around with a dead fetus inside of you for 1.5 weeks!!! I’m beyond disappointed with the poor service that I received. I wouldn’t recommend you taking your dying dog let alone your sick family member to this hospital.,2019-03-11 12:44:05,,,2025-12-25 02:25:17.798492
6,51,google,google_51_1764897424,Jamille Niewiara,5.0,"The staff there is so nice. Very kid friendly. Had to go twice in less than a week. They remembered us and were kind enough to remember to give us my son’s toy cars that he left there last week. Both medical appointments, we were greeted kindly by Leesandra and given excellent care by Ben. They also gave us goodie bags both times for my kids. They were excellent in giving me appropriate documentation I needed and gave good medical voice. Very organized and clean facility. Would definitely recommend them again.",2025-12-04 19:17:04,,,2025-12-25 02:25:18.957333
7,51,google,google_51_1753576919,Allison Lee Conner,5.0,"We were out of town and needed an URGENT Care.  The one recommended to us had an out of pocket expense which is understandable however the office fee was between $150 to $450 plus $98 for the exam we asked for. We Googled another Urgent Care because they were unable to tell us how much the fee would be before we went ahead with the visit and we could not reconcile not knowing the cost because after all $150 to $450 plus the $98 was inconceivable. That’s when we Google searched and found Midwest Express Clinic. I spoke with Shantiniece who was super sweet and she was able to give me the exact price for the office visit plus the price for the exam we requested which was  basically 75% less than what we were quoted from the other urgent care place. Our Uber dropped us off at the incorrect location and I contacted Midwest Express again and spoke with Charysse was super sweet too and I was able to plug in the correct address for Midwest Urgent Care. From arrival we were treated so wonderfully. We felt valued and the place was clean as well as sanitary. We wore our masks and were see so expeditiously. We booked another appointment on the spot to get another exam and we were seen super quickly. Feride was amazing as was Charysse and our Provider Natalie Sanchez was phenomenal! We highly recommend this urgent care. Our scripts were called in super fast, we received the doctor’s notes that we needed and back to work the very next day! Thank you so so much Midwest Express Clinic team! You are all fantastic!",2025-07-26 19:41:59,,,2025-12-25 02:25:18.958923
8,51,google,google_51_1762198361,Meagan Nava,5.0,"I had an excellent experience at this urgent care clinic. The staff was professional, courteous, and attentive from check-in to discharge. I was seen promptly, and the entire visit was handled efficiently without feeling rushed. The providers took the time to listen, address my concerns, and explain the treatment plan clearly. The facility was clean, organized, and well-run. Overall, this clinic delivers high-quality, reliable care with kindness and professionalism — highly recommend.",2025-11-03 13:32:41,,,2025-12-25 02:25:18.959708
9,51,google,google_51_1765900655,Jacob Loveall,1.0,"Do not go here. They require a credit card on file and will charge it without authorization. Despite having valid insurance on file (BCBS), and having already met both my deductible and out-of-pocket maximum, they still bypassed insurance and charged my card directly instead of properly billing the insurer. While the medical care itself is fine, the billing practices are completely unacceptable. This is not the first time I’ve had this issue with them.",2025-12-16 09:57:35,,,2025-12-25 02:25:18.960395
10,51,google,google_51_1765726006,Cameron Carswell,5.0,"The best part of getting sick is a visit to MEC. The staff is delightful, efficient, and reassuring. I’ve consistently had positive experiences here when I’ve come in for a cold, sinus infection or strep throat. The treatment is effective and the bedside manner of everyone on staff is very accommodating and friendly. Despite feeling really crummy and often in a subsequent pissy little mood when I have to go in, I always leave in good spirits and on the mend. 🥰",2025-12-14 09:26:46,,,2025-12-25 02:25:18.960958
