id,keyword,service_category,location,date,interest_score,interest_7day_avg,interest_30day_avg,created_at
1,urgent care,general,"Chicago, IL",2024-12-22,100,100.0,100.0,2025-12-25 02:34:07.532836
2,urgent care,general,"Chicago, IL",2024-12-29,94,97.0,97.0,2025-12-25 02:34:07.534484
3,urgent care,general,"Chicago, IL",2025-01-05,75,89.6666666666667,89.6666666666667,2025-12-25 02:34:07.535132
4,urgent care,general,"Chicago, IL",2025-01-12,69,84.5,84.5,2025-12-25 02:34:07.535736
5,urgent care,general,"Chicago, IL",2025-01-19,68,81.2,81.2,2025-12-25 02:34:07.536310
6,urgent care,general,"Chicago, IL",2025-01-26,77,80.5,80.5,2025-12-25 02:34:07.536834
7,urgent care,general,"Chicago, IL",2025-02-02,72,79.2857142857143,79.2857142857143,2025-12-25 02:34:07.537375
8,urgent care,general,"Chicago, IL",2025-02-09,64,74.1428571428571,77.375,2025-12-25 02:34:07.537952
9,urgent care,general,"Chicago, IL",2025-02-16,68,70.4285714285714,76.3333333333333,2025-12-25 02:34:07.538479
10,urgent care,general,"Chicago, IL",2025-02-23,65,69.0,75.2,2025-12-25 02:34:07.538940
11,urgent care,general,"Chicago, IL",2025-03-02,62,68.0,74.0,2025-12-25 02:34:07.539330
12,urgent care,general,"Chicago, IL",2025-03-09,66,67.7142857142857,73.3333333333333,2025-12-25 02:34:07.539707
13,urgent care,general,"Chicago, IL",2025-03-16,63,65.7142857142857,72.5384615384615,2025-12-25 02:34:07.540076
14,urgent care,general,"Chicago, IL",2025-03-23,60,64.0,71.6428571428571,2025-12-25 02:34:07.540427
15,urgent care,general,"Chicago, IL",2025-03-30,52,62.2857142857143,70.3333333333333,2025-12-25 02:34:07.540794
16,urgent care,general,"Chicago, IL",2025-04-06,56,60.5714285714286,69.4375,2025-12-25 02:34:07.541150
17,urgent care,general,"Chicago, IL",2025-04-13,57,59.4285714285714,68.7058823529412,2025-12-25 02:34:07.541496
18,urgent care,general,"Chicago, IL",2025-04-20,58,58.8571428571429,68.1111111111111,2025-12-25 02:34:07.541845
19,urgent care,general,"Chicago, IL",2025-04-27,60,58.0,67.6842105263158,2025-12-25 02:34:07.542193
20,urgent care,general,"Chicago, IL",2025-05-04,60,57.5714285714286,67.3,2025-12-25 02:34:07.542544
21,urgent care,general,"Chicago, IL",2025-05-11,63,58.0,67.0952380952381,2025-12-25 02:34:07.542901
22,urgent care,general,"Chicago, IL",2025-05-18,60,59.1428571428571,66.7727272727273,2025-12-25 02:34:07.543241
23,urgent care,general,"Chicago, IL",2025-05-25,62,60.0,66.5652173913043,2025-12-25 02:34:07.543583
24,urgent care,general,"Chicago, IL",2025-06-01,57,60.0,66.1666666666667,2025-12-25 02:34:07.543916
25,urgent care,general,"Chicago, IL",2025-06-08,57,59.8571428571429,65.8,2025-12-25 02:34:07.544250
26,urgent care,general,"Chicago, IL",2025-06-15,56,59.2857142857143,65.4230769230769,2025-12-25 02:34:07.544584
27,urgent care,general,"Chicago, IL",2025-06-22,61,59.4285714285714,65.2592592592593,2025-12-25 02:34:07.544918
28,urgent care,general,"Chicago, IL",2025-06-29,66,59.8571428571429,65.2857142857143,2025-12-25 02:34:07.545252
29,urgent care,general,"Chicago, IL",2025-07-06,68,61.0,65.3793103448276,2025-12-25 02:34:07.545591
30,urgent care,general,"Chicago, IL",2025-07-13,62,61.0,65.2666666666667,2025-12-25 02:34:07.545926
31,urgent care,general,"Chicago, IL",2025-07-20,66,62.2857142857143,64.1333333333333,2025-12-25 02:34:07.546264
32,urgent care,general,"Chicago, IL",2025-07-27,63,63.1428571428571,63.1,2025-12-25 02:34:07.546606
33,urgent care,general,"Chicago, IL",2025-08-03,74,65.7142857142857,63.0666666666667,2025-12-25 02:34:07.546943
34,urgent care,general,"Chicago, IL",2025-08-10,62,65.8571428571429,62.8333333333333,2025-12-25 02:34:07.547248
35,urgent care,general,"Chicago, IL",2025-08-17,68,66.1428571428571,62.8333333333333,2025-12-25 02:34:07.547548
36,urgent care,general,"Chicago, IL",2025-08-24,70,66.4285714285714,62.6,2025-12-25 02:34:07.547846
37,urgent care,general,"Chicago, IL",2025-08-31,76,68.4285714285714,62.7333333333333,2025-12-25 02:34:07.548144
38,urgent care,general,"Chicago, IL",2025-09-07,64,68.1428571428571,62.7333333333333,2025-12-25 02:34:07.548439
39,urgent care,general,"Chicago, IL",2025-09-14,63,68.1428571428571,62.5666666666667,2025-12-25 02:34:07.548737
40,urgent care,general,"Chicago, IL",2025-09-21,68,67.2857142857143,62.6666666666667,2025-12-25 02:34:07.549032
41,urgent care,general,"Chicago, IL",2025-09-28,73,70.0,70.0,2025-12-25 02:34:07.549326
42,urgent care,general,"Chicago, IL",2025-10-05,78,72.1428571428571,71.3636363636364,2025-12-25 02:34:07.549623
43,urgent care,general,"Chicago, IL",2025-10-12,63,65.5714285714286,69.1111111111111,2025-12-25 02:34:07.549921
44,urgent care,general,"Chicago, IL",2025-10-19,68,67.1428571428571,68.56,2025-12-25 02:34:07.550229
45,urgent care,general,"Chicago, IL",2025-10-26,72,64.8571428571429,67.6666666666667,2025-12-25 02:34:07.550558
46,urgent care,general,"Chicago, IL",2025-11-02,77,65.2857142857143,66.5333333333333,2025-12-25 02:34:07.550857
47,urgent care,general,"Chicago, IL",2025-11-09,58,65.1428571428571,65.7,2025-12-25 02:34:07.551158
48,urgent care,general,"Chicago, IL",2025-11-16,66,68.4285714285714,66.1333333333333,2025-12-25 02:34:07.551455
49,urgent care,general,"Chicago, IL",2025-11-23,64,64.1428571428571,66.3,2025-12-25 02:34:07.551763
50,urgent care,general,"Chicago, IL",2025-11-30,68,66.8571428571429,66.6333333333333,2025-12-25 02:34:07.552061
51,urgent care,general,"Chicago, IL",2025-12-07,72,66.4285714285714,66.2,2025-12-25 02:34:07.552354
52,urgent care,general,"Chicago, IL",2025-12-14,67,65.2857142857143,65.8333333333333,2025-12-25 02:34:07.552651
53,urgent care,general,"Chicago, IL",2025-12-21,87,76.5714285714286,68.8666666666667,2025-12-25 02:34:07.552877
54,urgent care,general,"Chicago, IL",2025-09-25,72,72.0,72.0,2025-12-25 03:07:52.916230
55,urgent care,general,"Chicago, IL",2025-09-26,66,69.0,69.0,2025-12-25 03:07:52.917872
56,urgent care,general,"Chicago, IL",2025-09-27,69,69.0,69.0,2025-12-25 03:07:52.918653
